"Accession"	"Description"	"Peptides.used.for.quantitation"	"Confidence.score"	"rawInt_Neil.left.2"	"rawInt_Neil.left.3"	"rawInt_Neil.right.2"	"rawInt_Neil.right.3"	"rawInt_Neil.mouse2.1"	"rawInt_Neil.mix.1"	"rawInt_Neil.mouse1.1"	"rawInt_Neil.mouse3.1"	"rawInt_Neil.liver.2"	"rawInt_Neil.liver.3"	"normInt_Neil.left.2"	"normInt_Neil.left.3"	"normInt_Neil.right.2"	"normInt_Neil.right.3"	"normInt_Neil.mouse2.1"	"normInt_Neil.mix.1"	"normInt_Neil.mouse1.1"	"normInt_Neil.mouse3.1"	"normInt_Neil.liver.2"	"normInt_Neil.liver.3"	"medianNormInt_Condition1"	"medianNormInt_Condition2"	"medianNormInt_Condition3"	"medianNormInt_Condition4"	"medianNormInt_Condition5"	"specCountSum_Condition1"	"specCountSum_Condition2"	"specCountSum_Condition3"	"specCountSum_Condition4"	"specCountSum_Condition5"	"medianRatio_Condition2_vs_Condition1"	"medianRatio_Condition3_vs_Condition1"	"medianRatio_Condition4_vs_Condition1"	"medianRatio_Condition5_vs_Condition1"	"qvalue_Condition2_vs_Condition1"	"qvalue_Condition3_vs_Condition1"	"qvalue_Condition4_vs_Condition1"	"qvalue_Condition5_vs_Condition1"	"cv_Condition1"	"cv_Condition2"	"cv_Condition3"	"cv_Condition4"	"cv_Condition5"
"sp|Q9D0E1|HNRPM_MOUSE"	"Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus GN=Hnrnpm PE=1 SV=3"	64	3454.53	8749694.507	3264496.297	4646412.419	1720988.638	5687755.02	12509040.85	21472805.18	28766835.04	6184289.268	5908025.705	8749694.507	8831988.33913587	7567239.54456892	8200236.99836281	6761036.80086255	11417954.2005907	7562448.8395522	7687166.58261897	4591573.3830801	4606380.99987354	8790841.42306794	7883738.27146587	9089495.50072661	7624807.71108559	4598977.19147682	92	87	68	105	61	0.896812704501556	1.03397332101509	0.867358122406511	0.523155517219171	0.671161510386476	0.999999999999996	0.226192122265476	0.0119423672865096	0.6619449032536	5.67746894479603	36.2279498626755	1.15660309345998	0.227671628101553
"tr|E1WEJ7|E1WEJ7_SALTS"	"DNA-directed RNA polymerase subunit beta OS=Salmonella typhimurium (strain SL1344) GN=rpoB"	52	3868.13	6261443.205	2414377.037	4335891.603	1632383.763	2902279.911	2671139.733	23780417.09	31858252.61	9116799.877	8567496.716	6261443.205	6532018.38723404	7061519.17660539	7778048.86872199	3449941.35923159	2438152.65298874	8375160.40027416	8513265.17163584	6768838.55849111	6679922.54259519	6396730.79611702	7419784.02266369	2944047.00611016	8444212.785955	6724380.55054315	99	95	51	125	100	1.15993376291022	0.460242442576648	1.32008256328074	1.05122143871132	0.643708794899078	0.0978551743436563	0.0870509832826192	0.578438357736295	2.99098949567507	6.82854113636677	24.3013326155266	1.15647038770136	0.935002374174249
"sp|P01027|CO3_MOUSE"	"Complement C3 OS=Mus musculus GN=C3 PE=1 SV=2"	55	3283.89	2711052.485	805645.7366	1279328.469	619229.8989	2157341.098	2017298.954	7929939.49	9593318.468	17158353.86	16127705.08	2711052.485	2179648.28376882	2083539.7524168	2950531.92992215	2564432.27675991	1841342.38123233	2792823.8155733	2563557.54955624	12739352.4893321	12574480.5391086	2445350.38438441	2517035.84116948	2202887.32899612	2678190.68256477	12656916.5142204	41	33	43	41	165	1.02931500419851	0.900847315404525	1.09521756050472	5.17591122934581	0.984462172346929	0.773245774173242	0.563063552959939	0.00708013885589256	15.366285201545	24.3562700984378	23.210527465698	6.05318106934531	0.921093805900519
"sp|O08638|MYH11_MOUSE"	"Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1"	22	3241.16	1619319.758	599615.5276	914613.4747	297373.4366	2207651.837	2789192.702	2771756.722	3362653.317	1192442.573	1077687.531	1619319.758	1622240.2679993	1489557.66936311	1416937.10422835	2624236.67351426	2545908.58803197	976177.459353726	898579.081481577	885338.208121857	840253.51521368	1620780.01299965	1453247.38679573	2585072.63077311	937378.270417651	862795.861667768	25	21	25	4	17	0.896634568010336	1.59495589163196	0.578350092485903	0.532333724964286	0.671161510386476	0.155602911537501	0.0375924695617908	0.0140225040865185	0.127414726765215	3.53349983815254	2.14254407178176	5.85359624114449	3.6949287194612
"sp|Q8CAQ8|IMMT_MOUSE"	"Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1"	52	3611.64	2423586.679	919684.1183	1879952.593	542162.8932	3938083.908	5961390.079	14102936.5	16843361.06	30979414.39	29916972.51	2423586.679	2488175.40886126	3061728.12931793	2583319.91146943	4681202.00909648	5441414.71037547	4966874.8388795	4500937.35022918	23000905.7423238	23325723.4522819	2455881.04393063	2822524.02039368	5061308.35973598	4733906.09455434	23163314.5973029	41	28	59	55	160	1.14929183046922	2.06089312519607	1.92757955693886	9.43177384529588	0.671161510386476	0.0860089618432155	0.0320864913440772	0.00312770437267118	1.85966372377831	11.985219348775	10.6208023303791	6.95974003820383	0.991571410887941
"sp|P48193|41_MOUSE"	"Protein 4.1 OS=Mus musculus GN=Epb41 PE=1 SV=2"	52	4225.9	43336524.11	16594811.47	24346996.19	7631902.799	52960271.07	69477638.69	60128504.04	95137160.97	16533407.53	15548318.11	43336524.11	44896721.5946572	39652001.5328491	36364802.3690604	62953896.6479478	63417531.8507819	21176494.2581809	25422859.4684438	12275356.2546266	12122742.9767748	44116622.8523286	38008401.9509547	63185714.2493649	23299676.8633124	12199049.6157007	178	166	264	146	106	0.861543778592938	1.43224277299888	0.528138269815061	0.276518210755491	0.630057151493131	0.237222000787734	0.0442606305215354	0.00523655729279167	2.50070415653552	6.11549210310146	0.518850819074334	12.8870183616128	0.884608941414966
"sp|Q5SUA5|MYO1G_MOUSE"	"Myosin-Ig OS=Mus musculus GN=Myo1g PE=2 SV=1"	49	3772.74	5707366.175	2225463.637	3995579.947	1455928.208	7947862.288	13044791.85	21430685.94	30436188.52	2444714.229	2102010.05	5707366.175	6020919.34036429	6507280.85496386	6937266.22859997	9447627.26741976	11906974.9380136	7547614.97900205	8133256.61192498	1815096.98150711	1638899.29383156	5864142.75768215	6722273.54178191	10677301.1027167	7840435.79546351	1726998.13766934	106	98	159	136	15	1.14633524788864	1.82077782617574	1.33701311844641	0.294501380514131	0.649642369033164	0.130286219785611	0.0954977980218667	0.00700958204813998	3.7808692361922	4.52295747293455	16.2870878927427	5.28173663796306	7.21428570576835
"sp|Q8C196|CPSM_MOUSE"	"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus GN=Cps1 PE=1 SV=2"	51	2968.9	586530.3441	242442.2155	485127.3401	91479.08715	435437.9308	629720.573	1145350.481	1290321.638	16459302.87	15666041.33	586530.3441	655919.512660506	790088.020844767	435883.293160873	517605.252736473	574793.922883681	403377.869976046	344803.916130211	12220336.6768428	12214529.6464558	621224.928380253	612985.65700282	546199.587810077	374090.893053129	12217433.1616493	0	0	0	0	149	0.9867370560951	0.879229990390449	0.602182681285041	19.6666820719902	0.940250310070421	0.663156601534822	0.0629122881184154	0.00287004165531894	7.89819425919707	40.8591232131331	7.40361167797022	11.071651498187	0.0336092738210476
"tr|E1WJD4|E1WJD4_SALTS"	"ClpB protein (Heat shock protein f84.1) OS=Salmonella typhimurium (strain SL1344) GN=clpB"	46	3526.15	6686930.487	2398202.942	5229093.176	1689767.363	2241201.069	2177716.296	19525532.77	25315158	7818170.21	7241142.005	6686930.487	6488259.9003375	8516204.99761382	8051472.59124354	2664116.65979972	1987767.5057403	6876644.26703121	6764798.29431105	5804660.92140529	5645787.71568127	6587595.19366875	8283838.79442868	2325942.08277001	6820721.28067113	5725224.31854329	92	94	51	104	89	1.25749056383886	0.353079084914847	1.03538864792822	0.869091701937867	0.52899663892196	0.0682351156093795	0.724341024231474	0.192717421962867	2.13251292651347	3.96694629309511	20.5616071366508	1.15951147253227	1.96219946793079
"sp|Q9WTI7|MYO1C_MOUSE"	"Myosin-Ic OS=Mus musculus GN=Myo1c PE=1 SV=2"	46	3088.53	4315354.03	1586065.848	2570787.961	877930.2901	6292075.007	9562066.833	15840036.44	24024090.87	5386069.368	5346987.557	4315354.03	4291049.46068121	4186836.32981675	4183198.12687887	7479392.2253203	8728026.59063834	5578659.34096565	6419795.16540049	3998928.84660127	4168949.68284926	4303201.7453406	4185017.22834781	8103709.40797932	5999227.25318307	4083939.26472527	66	70	114	115	62	0.972535678318879	1.88318138157334	1.39413106988974	0.949046664880923	0.89697652033345	0.104493590305396	0.0968238101389901	0.558891928180282	0.399375320893209	0.0614716219393783	10.8952305973556	9.91415761156971	2.94379711501538
"tr|E1W824|E1W824_SALTS"	"Pyruvate dehydrogenase E1 component OS=Salmonella typhimurium (strain SL1344) GN=aceE"	50	3603.84	8049439.901	2843106.086	6736292.211	2135294.338	3024536.73	2742849.906	29445391.85	39122635.83	10950373.1	10247827.69	8049439.901	7691930.85670032	10970859.2793882	10174337.7302077	3595268.09174887	2503607.98892127	10370292.449428	10454477.1212463	8130189.17483734	7990046.27235182	7870685.37885016	10572598.504798	3049438.04033507	10412384.7853372	8060117.72359458	125	116	72	145	116	1.34328816308784	0.387442502596968	1.32293241111085	1.0240680875459	0.459085253059545	0.0754415627866723	0.0859867457423811	0.798047097104882	3.21188127071032	5.32722195523778	25.3135250249383	0.571699505367298	1.22946090964144
"sp|Q61879|MYH10_MOUSE"	"Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2"	15	3494.89	70194.03896	29157.58197	35178.34644	16482.94643	144093.22	155793.9945	261080.9454	308034.9031	731494.8607	732839.5472	70194.03896	78884.887752237	57292.1536634937	78538.616800164	171283.671633027	142205.043157092	91949.387889404	82314.0818271468	543104.015141939	571381.76689399	74539.4633561185	67915.3852318288	156744.35739506	87131.7348582754	557242.891017965	0	0	1	0	32	0.911133273221427	2.10283721317124	1.16893429245655	7.47581034163997	0.804723384207484	0.0879232108853544	0.302569466266704	0.00456637971979403	8.24443568354892	22.1209349087646	13.1179812304914	7.81941306059376	3.58827189056773
"tr|E1W7N5|E1W7N5_SALTS"	"Chaperone protein dnaK OS=Salmonella typhimurium (strain SL1344) GN=dnaK"	49	4314.49	25115745.26	9887127.926	18583673.95	6925934.818	7915428.931	8389616.054	75253498.52	99789527.02	27637373.32	25847399.26	25115745.26	26749302.3748333	30265740.4716736	33000977.2806023	9409073.72221934	7657841.47751922	26503324.9165267	26666079.7524946	20519581.5097115	20152750.6467424	25932523.8174167	31633358.876138	8533457.59986928	26584702.3345107	20336166.078227	128	137	93	165	130	1.2198334068392	0.329063906774013	1.0251490569019	0.784195407335127	0.581519419433513	0.0665588460918518	0.8055822180673	0.0806698394759082	4.45424950339152	6.11412940155238	14.5112128485757	0.432899517684	1.27550389663511
"sp|P60710|ACTB_MOUSE"	"Actin, cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1"	26	5079.51	129213766.9	48457344.14	79587793	27648742.16	134431697.2	248916414.3	350231937.8	501993143.8	194133285.3	193557657.7	129213766.9	131099765.30936	129618260.314521	131741856.635445	159799015.389311	227204967.377867	123347233.367379	134144229.434953	144135758.682201	150913411.91267	130156766.10468	130680058.474983	193501991.383589	128745731.401166	147524585.297436	191	165	282	280	284	1.00402047765909	1.48668407471005	0.989158960031482	1.13343769757453	0.996059033459824	0.307336546160104	0.916412886453682	0.232966774809633	1.02461232287592	1.1490730694121	24.6318941746483	5.93000564192421	3.24862771187097
"tr|E1WF20|E1WF20_SALTS"	"60 kDa chaperonin OS=Salmonella typhimurium (strain SL1344) GN=groEL"	47	5265.72	80132714.88	29332293.08	57534367.86	18670035.4	27222982.81	26827594.64	232547685.1	287260598.6	83555570.57	78922679.13	80132714.88	79357562.9663751	93701614.1446327	88959747.7097483	32359971.1943393	24487588.663645	81900336.5691155	76762705.0730653	62036479.4095985	61534588.3305611	79745138.9231876	91330680.9271905	28423779.9289921	79331520.8210904	61785533.8700798	218	238	154	457	325	1.14528210948585	0.356432759573854	0.994813249965047	0.774787462964898	0.644087717656102	0.0682351156093795	0.957717869525847	0.0621733226072502	0.687333650646519	3.67128097321497	19.5843588905307	4.57933244250733	0.57439106401608
"sp|P20152|VIME_MOUSE"	"Vimentin OS=Mus musculus GN=Vim PE=1 SV=3"	43	2977.91	4688858.301	1569009.361	2799283.421	902127.3011	15307499.72	11655747.24	46908052.58	70566339.89	14352457.64	13649407.77	4688858.301	4244903.69098649	4558968.57395331	4298493.03381247	18196031.3994173	10639088.1407971	16520419.4247374	18856965.2902678	10656093.1459988	10642196.8607962	4466880.99599325	4428730.80388289	14417559.7701072	17688692.3575026	10649145.0033975	40	40	89	101	90	0.991459322031507	3.22765701236268	3.95996498974771	2.38402254569792	0.989128549597729	0.0803818225356808	0.0296513124089062	0.00992196773321673	7.02779670112476	4.15884434893483	37.0629004381965	9.34035932491724	0.0922717973781937
"sp|P26039|TLN1_MOUSE"	"Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=1"	41	2842.19	962229.9934	387970.4058	669847.9263	191957.2775	617830.8182	2736809.38	5248438.72	7944837.634	2341046.899	2322453.614	962229.9934	1049641.28864362	1090927.63613002	914645.881038348	734415.755226606	2498094.34082926	1848433.35441303	2123045.17613761	1738128.37080741	1810775.16158458	1005935.64102181	1002786.75858419	1616255.04802793	1985739.26527532	1774451.766196	29	31	74	75	74	0.996869697911859	1.60671814589069	1.9740221782561	1.76398140580201	0.994686059438898	0.720031803229689	0.0375935495558585	0.0205741731732544	6.1444407672324	12.4303620244029	77.160414084076	9.77871993222231	2.89492447011393
"sp|P57780|ACTN4_MOUSE"	"Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1"	32	2653.47	992538.0403	320865.6013	742264.014	259389.1114	1434406.735	3492221.236	6573206.084	10036026.57	994822.4062	924460.5215	992538.0403	868091.427065086	1208865.91476099	1235947.83911335	1705079.89332144	3187616.26963415	2314999.568309	2681859.43861762	738613.587309904	720785.181717618	930314.733682543	1222406.87693717	2446348.0814778	2498429.50346331	729699.384513761	18	26	52	64	12	1.3139713181779	2.62959189283632	2.68557447604164	0.784357549219209	0.515107156570835	0.130195353153168	0.0317112217017335	0.124813021415275	9.45884665996644	1.56656615063535	42.8520999519079	10.382886596594	1.72764110256851
"sp|P27046|MA2A1_MOUSE"	"Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=1"	43	2501.37	352942.0656	185996.2568	421631.2552	91030.17043	1039660.961	1262318.862	3611435.376	5334074.563	11233610.6	10891931.36	352942.0656	503206.811014043	686677.035927506	433744.276426396	1235845.424605	1152214.55631091	1271901.60015921	1425388.6349637	8340481.04666479	8492242.27751236	428074.438307021	560210.656176951	1194029.99045795	1348645.11756145	8416361.66208858	0	0	24	20	123	1.3086757957156	2.7893045779145	3.15049205669736	19.6609769445104	0.700522083428012	0.0705557228600123	0.0390720566498593	0.00549300038809131	24.8212018628717	31.9255743273417	4.95263557530852	8.04746346694303	1.27503308153828
"sp|Q8K0E8|FIBB_MOUSE"	"Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=2 SV=1"	45	3278.79	12627545.34	4540462.336	6038146.998	2123753.61	17340913.56	15423990.88	80331129.75	109517484.2	64090474.31	60378288.3	12627545.34	12284072.8729544	9833846.12014695	10119347.997769	20613151.2921132	14078651.078845	28291602.0457186	29265615.8935843	47584468.1899791	47075861.5343579	12455809.1064772	9976597.05895799	17345901.1854791	28778608.9696514	47330164.8621685	66	72	106	171	185	0.800959373548045	1.39259529727852	2.31045680964123	3.79984667857154	0.530360052591132	0.405924004259029	0.0304581123736623	0.00490917151907236	1.94986699396793	2.02353881303455	26.6379322876287	2.3932073906759	0.759852022898491
"tr|E1WEJ0|E1WEJ0_SALTS"	"Elongation factor Tu OS=Salmonella typhimurium (strain SL1344) GN=tuf2"	40	3643.96	79464163.81	27228389.81	55470386.73	18299819.95	26350247.99	24551151.56	282514919.9	365854657.7	100843926.7	96741930.12	79464163.81	73665521.2371852	90340173.4851009	87195730.0030518	31322550.944229	22409705.7036823	99498161.0574059	97764863.4219353	74872353.0894514	75427936.6825913	76564842.5235926	88767951.7440763	26866128.3239557	98631512.2396706	75150144.8860213	164	185	122	353	270	1.15938267249389	0.350893797184748	1.28820890879882	0.981522881900588	0.628796201559634	0.0693828306810394	0.112192325084644	0.860960048566075	5.35527710861664	2.50479735707447	23.4582863346083	1.24263177561106	0.522762699687529
"tr|E1WEE1|E1WEE1_SALTS"	"Glycerol kinase OS=Salmonella typhimurium (strain SL1344) GN=glpK"	43	3553.21	21829719.75	8447073.869	15516642.95	5056688.539	6440680.456	7662724.723	65696379.96	84665691.28	21617080.91	19698266.81	21829719.75	22853283.0560682	25270712.8730229	24094316.2151806	7656039.58547641	6994352.40384141	23137429.3310327	22624639.5127224	16049768.8618541	15358383.0698691	22341501.4030341	24682514.5441017	7325195.99465891	22881034.4218775	15704075.9658616	116	126	78	168	119	1.10478316111511	0.32787393570891	1.02414936261939	0.702910501965142	0.688088749613024	0.0665588460918518	0.810291522600316	0.0394104303241357	3.23956990015106	3.37015117580165	6.38731705608257	1.58470614206128	3.11309995565087
"tr|E1WIM3|E1WIM3_SALTS"	"Elongation factor G OS=Salmonella typhimurium (strain SL1344) GN=fusA"	42	3750.41	24904842.87	9147465.932	19102525.52	6197144.031	7981154.098	7652206.815	81866659.91	111580148	34080338.19	30802721.93	24904842.87	24748170.9562088	31110752.4431057	29528405.1533578	9487201.25606482	6984751.90822627	28832396.2353574	29816807.5770799	25303210.5935398	24016326.2869115	24826506.9131044	30319578.7982318	8235976.58214554	29324601.9062186	24659768.4402256	160	173	107	237	198	1.22125834715104	0.331741255867062	1.18118114678227	0.99328385288102	0.562280503588785	0.0682351156093795	0.186420775028077	0.940471458104562	0.446231816062436	3.6903167627057	21.4849919227371	2.37371998240601	3.69007771514639
"sp|Q9QYB8|ADDB_MOUSE"	"Beta-adducin OS=Mus musculus GN=Add2 PE=1 SV=4"	39	2484.82	9438945.272	3355184.066	5158381.937	1591209.69	10728014.01	13015279.67	10519349.3	16989688.52	2386346.442	2359538.309	9438945.272	9077341.14258255	8401043.26943442	7581860.96292602	12752394.7966695	11880036.9238493	3704781.01206474	4540039.44676039	1771761.36675745	1839689.42888195	9258143.20729128	7991452.11618022	12316215.8602594	4122410.22941257	1805725.3978197	72	57	93	49	22	0.863180870856105	1.33031166017822	0.445273975257366	0.195041852063554	0.644087717656102	0.332305949188572	0.0354296126679204	0.00456637971979403	2.76181439724073	7.2483618188405	5.00843907326322	14.3269803427769	2.66000541494815
